Country,State,City,Coordinates,Descriptions,Havens count,Place type,image
Greece,,Zakynthos,"37.7881° N, 20.8987° E","Unwind on the sun-kissed shores of Zakynthos, a stunning island with pristine beaches, turquoise waters, and the famous Navagio Beach. Embrace the beauty of the Ionian Sea...",10+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL0hieXVSMWZQVXVZcTlzRjZ3NExnaHcvWjZXQ0dQLWlMaHliTEN0eUNWWktFMXZ3ak1lV0VTZG51ZUhXcnA3YldxaWpPczR0bm9QWGs3ZnNkbDNHRWZ2VERSQW1sYVpkbVZKbHJpOWszMnNqQzl0akZ2bjRkb01BQkE5b3YxcVRKTEkvNENqdFBhMGVmZ21Wbm9PQzNWNVpRX0FsbkhzbDZzVlFkd29RLVVMRTdfcw=="
Ireland,,,,"Rich with history, Ireland is a land of myth and marvels. Harken back to medieval times at Blarney Castle or venture to the breathtaking Cliffs of Moher to unearth the magic of the Emerald Isle…",10+ Havens,3 Top Destinations,https://res.cloudinary.com/stayhvn/image/upload/v1654135891/destinations-map-default-img.png
Ireland,,Cashel Bay,"53.3561° N, 9.9644° W","Discover the tranquility of Cashel Bay, a hidden gem on Ireland's rugged west coast. Embrace unspoiled landscapes, pristine beaches, and the warmth of Irish hospitality...",,Top Destination,/images/Cashel Bay.jpg
Ireland,,Killarney,"52.0597° N, 9.5048° W","Delve into the enchanting beauty of Killarney, nestled amid the breathtaking landscapes of Ireland's southwest. Explore the famed Ring of Kerry, ancient castles, and serene lakes...",5+ Havens,Top Destination,/images/Killarney.jpg
Ireland,,Cork,"51.8969° N, 8.4863° W","Experience the charm of Cork, a vibrant city boasting a rich history, lively arts scene, and gourmet food culture. Explore bustling markets, historic landmarks, and the captivating coastline...",,Top Destination,/images/Cork.jpg
Italy,,,,"From the marvelous Colosseum to romantic Venice canals, Italy never disappoints. Walk among relics in Pompeii, gape at masterpieces in Florence & splash out in Capri—your memorable moments are waiting…",5000+ Havens,18 Top Destinations,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL0hxQ2VvdmNYaHRYNF9MUGpraWtYQkEvcVFvUDZRRGJJOXpRM29pcHE2RjJCMkhEelhUR0lJVldaU0R5Vkx4QmV5SzRxdGl0ZVpCdlF6bGVqWGNsYXdKV1hSZ01lRldUYV90akdGSjJkcXlSc0lLYjE1RVlCSnc4bC1Xa0JZLVA3NFUvbnI4Rnc2SlNVOGM0Sk9DT09wbmJWS2lLeVBjRDJBcXV1Znl6QnBqWV82bw=="
Italy,,Amalfi Coast,"40.6340° N, 14.6026° E","Boasting sweet limoncello & ethereal grottos, the Amalfi Coast beckons. Travel winding roads to reach chic umbrella-studded beaches, charming seafood eateries & hillside villages awash in sunset’s glow…",500+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwLzVKN1JiZG0zV19veEQ2UGpwQ1JyUUEvNDJMWTFnTzVwbGdpSlhjazQ1OW9LZmNHdDhwQTZyQ2R4dm5Dcy1VOE9CeW1SUkZHdzBGbE5uRkpYaU0yd2xFYnZza3Z3VjA5VDl1Ul9xTUdSSG5hR2Q3Tnl3MDN4eXVZZmhDRnpubGFGbGhLZ056RWlnMWFwUGFCR3hNRVdOZFovbjRoTFVFT1BtSm1TYVZFejlnMHZwLTlhVnZfb1JwRkE5V195MTVJbFRMdw=="
Italy,,Bologna,"44.4949° N, 11.3426° E","Known for delectable bolognese dishes, Bologna is the world’s oldest university city. Stroll the exquisitely adorned porticos lining Piazza Maggiore & marvel at the less famous leaning towers…",150+ Havens,Top Destination,https://res.cloudinary.com/stayhvn/image/upload/v1654135891/destinations-map-default-img.png
Italy,,Capri,"40.5506° N, 14.2429° E","Reached by ferry, gorgeous Capri is worth the trip. Shop the high-end boutiques, board a quaint wooden boat in search of hidden grottos & ascend to Villa San Michele’s enchanting sea-view gardens…",50+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwLzl5cFEwSV80LVdLQ2EyNG5zUC00bkEvRTlaUXV0VDdiMjB4SWJ5aXZDQm54aV8xdUEtUHZHeURDMkwxNkVudEp3WXk3R2hjeVNWWVdBOGUtdExFU1Yyc0ktYWpCOXBQRnB5MnFycUk4NEpvSXI3bE5HX2oyXzd1eTFUb01tcUZRalEvVmxvLVFkdEZaTkFZeEx4RXFCNWU0SHRqZGhsaEJUQ1ZycHdYNXhzY3pHNA=="
Italy,,Florence,"43.7696° N, 11.2558° E","Steeped in Renaissance antiquity, Florence exudes romance. Bask in Ponte Vecchio sunsets, ponder Uffizi masterpieces & wander hillside gardens. From Pitti Palace to the Duomo, Firenze is unforgettable...",500+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL19mWGdlbzhyODFIQ1NZV1JZazNPTUEvVUJDYzZXakQtRWVGdU1zenhlTlhMeElSN2lmWGZxcHg1WHNXaTlDRVlKX0RxamVlcXNuZWNTeEZhaVVWMXFZekI4N3JtMHFmSkJrLVRSQWdCZHMxZkFMX1dqcDExR18yZS00XzkySXRKcDgvOW1lYzVvYUxaX2ZJT3RwdlZya1B1SFRscDJudzFQNjZfOVFEV3ZNMWFyZw=="
Italy,,Lake Como ,"45.9650° N, 9.2037° E","Terracotta-clad villages dot Lake Como’s shores, while the snow-capped Alps tower above. Ride the funicular to quaint Brunate, gaze at grand villas perched on hillsides, or savor lakefront dining in Bellagio…",250+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL2tsU3loTHJ4ZnZzZUt5clZCUWpoNFEvMUVVYU5QSjJfcERyNnlLNWlwVm5SQnlCaS1ydlF2bE5idC0zTWNWVUdpNExuaWI2RW5wMy1jVXhvRnk3eGh2RlpzNGw3SmJEWW9hV01WclBJZENvUzhxczNuQ1lTdGg3QXNHRTJpZmxheGsvVE1Ycm9kekpCWFFDMXJEdkd0TXhNV20tUkVYa1FQdXpBWWdWNWNnTDUySQ=="
Italy,,Lake Garda,"45.6046° N, 10.6351° E","With the Dolomites towering over sienna-hued towns, Lake Garda’s wonders are endless. Explore the Rocca Scaligera fortress with glittering harbor views, or lounge lakeside at Riva del Garda...",150+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwLzlMdmUxRHlOc0xHUHIwR21pdDA3d1EveE1QMExsOHByMXNsdnUxSGU4MlB0aFpQMUwzSGpwMHNjYUp3anVlb0N1cUtXYU5EdnBsWnBDcFB2ZTl0cFhhQTFKcnBLVUFjMElOd0NzLWdGYlV3V1pBQmZLRGl3YkNQODRaYTZuZThXcVUvODNvaXB4VzdRemg5RmFVNW04YWRnR29sRG9SVXJpdEg3aWUtdFpnZzZLaw=="
Italy,,Liguria (Italian Riviera),"44.2466° N, 9.0588° E","From the colorful houses of Cinque Terre wrapping around cliffsides to the glamor of Portofino’s upscale boutiques and yachts, Liguria spells vibrancy. Get lost in a fishing town or take a romantic sunset cruise….",150+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL3dMQlVqOWladi1YMDN1Q3pfdGgwSlEvY1EybEhET0pTMUQ3NE93c2ZBOVpmMWxRdjduTFVQd3UwYU5YTWdEeWRlbVlfdFc3eTBRcUJ5UUw3bl9EclJ4MWloVFdxTDZtSHBMN0tIZmxXTmZHaUxsVy1YWGMyUUhONXR4Z3JwY2FUcW8vVmE0QktpT2poNVNVVXZCTkVuZWFIZTNjaF9SOEdkSzJ5N2REWTlYLTdYbw=="
Italy,,Marche & Abruzzo,"42.8237° N, 13.2727° E","Postcard sea towns, quaint hilltop villages, and landmarks such as the Frasassi Caves dot Italy’s central Adriatic coast. Trade bustling Venice for Comacchio, or “Little Venice”, and escape to a hidden gem…",5+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL3NiVURqX0oyd042bVJ4SXpLZW5WM0EvdUFnNXFRWXZyQVR3cDNyWXFhSFc3WURQM2UyTmpPcHM4STJ3dW1vamJ3X2o5M2U0UDVtaXEzaE9hNEJnVzBfMDBJZllLUnJ5dHNiNXVNS2hFMmpwelVaZVRablZTbWdodU5tTVBRZE9mSWlabWp4cHJsRUp0UWxFM3hpMFIxSzQvSmk5am1BSFZQMTY3WUdHaFA0ZDQtT1dhZXhiOGUycnF3YzJLd1Nla2tPOA=="
Italy,,Milan,"45.4642° N, 9.1900° E","Known for fashion houses, financial hubs, and the Duomo Cathedral, Milan exudes cosmopolitan cool. Browse upscale stores at the historic Galleria Vittorio Emanuele II, or window shop Via Montenapoleone...",50+ Havens,Top Destination,https://res.cloudinary.com/stayhvn/image/upload/v1654135891/destinations-map-default-img.png
Italy,,Naples,"40.8522° N, 14.2681° E","A place where history meets natural beauty and culinary delights, Naples has endless allure. Watch pizzaiolos toss margherita pizzas, inspect Pompeii’s ruins, or trek to the top of Mount Vesuvius...",50+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL0FpbF9qUFRZODIxcGJ6S3I0c3d1U1EvOWFjQXRtN1cyMVhNa2h0c0J0c1VQbE0tcXhOSXdvOHZQWEUtTUpqbVJ5X3E5UE51TnBGSEx0amI5NnFWbDFCdEpVUlBmY0g3SXEtVGdxdXp5b3cxeElYUExwNm5Fa21lTlFaS0FFSldLanMvaHdzVmpQdzlzNkZvaE52SXY1b21rcnZKalBVMkp2dWdxWE1TSFl1WUFESQ=="
Italy,,Piedmont,"45.0517° N, 7.6110° E","From maroon-hued glasses of Barolo to nutty Bra Duro cheeses, Piedmont is an impressive culinary haven. Sample pastas at laid-back trattorias in Turin or try delectable gianduja from a streetside chocolatier…",50+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL29CLUxOR3BaWVhtRS0yR3BQcUFnencvX0VHcVJIN1hTOVRVZ3dia2UzdS1qVDdOUFpIMk4xTzB0ald6V196UXhYMHoxc2tmcmFWNWtWMXNickdOeXhJSHRUWmpQZ3IxN29RRUJzU2c4Ni1DZkd0M1IzV1FPeGR3WFNMS190OTh1OUEvcklfbmdCUHc4MVBkbi1oa2E1R2dRcnFUTnlKVmpUS19jX3hFSW90OURycw=="
Italy,,Puglia / Apulia,"40.7928° N, 17.1012° E","From the unique conical roof huts of Alberobello to the whitewashed streets of Ostuni, Puglia exudes brightness. Wander a quiet alleyway or savor olive oil from the Valle d’Itria’s fertile countryside….",250+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL1JIX2NJNWFITWQ5c3FPcWlyWGFqTGcvQ28waGVSY29kblF1c21mYVVZbTktVmtqb0V1bFI3Vk1aMURoMXVFaXpCOE9vOF8tR09Lc0pDdlBYVnNsWVJSWFBrOW5jc3NLdC1oUFY4YkhhUW9wRERma2VIdG04T2VXMHRFSmFtbC11STgvTjk1RVQzR2ljazVMbnljaWk0RDVuMXFvSW43NjRjaGxmSWZPY1c0Mzd3TQ=="
Italy,,Rome,"41.9028° N, 12.4964° E","From the Colosseum to the Pantheon, The Eternal City’s architectural feats add to a dreamy Italian experience. Dive into flavorful carbonara at a riverside cafe or toss coins into the Trevi Fountain.…",50+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL2JTNHd2eXJlNnpHZlZSVDlOLUktZ2cvR3cwZTRPY2ZSMXJ1Ykt6TGZyRnhXNDlLQW1iQ2puNEl5ZXNRYlh5d3FfQllMNTJXVHdmSHR6V2p1bWxtWU1nV0lOMmZaUE5yRTZEZjJZaTZHN19xRGZ5N2JEZHpadHV4dmdFYm1HQ3E5OUEvMGlsRGFSTXlMLUhFVlR2eDFJaGU5UmxRSk1xYVpXU3B2dXBCdFFzWG9VQQ=="
Italy,,Sicily,"37.5990° N, 14.0154° E","Positioned between Europe and Northern Africa, Sicily’s melting pot of cultures create unmissable experiences. Hike up thrilling Mt. Etna, dine on delicious arancini, or explore Arabian souk-like markets...",500+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL0NUWExMUWVzVE1CelZpWGZsX1lyYncvYzZLN3ViMUoyN3E5Szg3V2lYaW1OSDZuQkNfeVpOeGpWc2ZPYU9ONjliZm0tYl9yUmlZbEdvTU5qZDBEQ0M0MXV3SmdYVkpxel9uXzlZOWgwODY1RVFWRThVZGJ5TnB4QlBSbWJjWnZsWVEvMm1lckIxNkdaX0NxNFEtQWJOSURRWU9MOWZmNEpyLWJOTjFVRS1uTGN4QQ=="
Italy,,Tuscany,"43.7711° N, 11.2486° E","From posh Florence apartments to modest villas on rolling vineyards, Tuscany is full of opportunity. Relax on Etruscan Coast beaches, meander Siena’s shop-lined streets, or get lost in a medieval hill town….",2000+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwLzY0c2pYMEt1ZlgzX19JMkZsRGpmWmcvdm1OamxkaWk5YnIwQjJhT1lRR2xXeFV2TmFsNmltN1NrOHdoMGFWWWZiMjA2aW85aE1TQXNnTTBKbmVRZWpyNFJlSm5RLTMyWlFmTHZKLTlqU25BQ3NGRzNQMTRPNXZPX2x4OFNDZzJOUmcvaEtFUE5sNGtGemdTQTNrZFk5Q3dxR1JiWXRDODdlX2s5MUgxZGd6b3ZPYw=="
Italy,,Umbria,"42.9382° N, 12.6216° E","Explore the lush forests, atmospheric castles, and medieval hill towns of Italy’s green heart. A culinary center known for foraged truffles & wines only produced in Lake Trasimeno's microclimate, Umbria awaits…",150+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL1E4c1NoTmVaSlRWaGRQU1VHZURwUncvc1FSaXp5MjVUeFhPQ09uYjlmZzFqZ3Z1TnN6MHR3S1diUTkzeXdLS05vYlAtMUstZGUxYm4tcFdsSGlFVE9QWjRzTmw3NUlGeFpvdmRGNVVBMWRFRzd3VXJXSmlBbWthNEhqV3NPTFc0ZGsvQ29IN09DcHNRcTVvZGhaQ1hlU3BONDdKYXF2RlJ2VnhpZHAzeDB5aHU0OA=="
Italy,,Venice,"45.4408° N, 12.3155° E","Exchange car trips for gondola rides in Venice, known for palaces, plentiful canals, and picturesque bridges. Gaze at the boats floating by from the Rialto Bridge, or marvel at St. Mark’s Square’s expanse…",50+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL3BRRjBBUVRFYlo3MXBGbTBlZGpTdEEvbmZNUmZzbk5ORnRXUDVsVUxiZzNmZ25IWG9KN1RBMUNFaThHbmlxdmNwMmJaX3o1V1JUdVdkSzdvWU5QT3h2eHRGRGNpODR1T0tNcWJLa0RrbkRZV3Q2OGViOHV5aFY0ZnhvSWEzZkNITzgvNlJsTTdhSTg1bGJMOXRXZXBFR3JnXzVTVVl1aldCQ25jT1RpaEFOQXhLUQ=="
Italy,,Verona,"45.4384° N, 10.9916° E","As peach-colored sunsets dip below Verona’s warm-toned residences, this setting of Romeo & Juliet is breathtakingly romantic. Indulge in opera at the Verona Arena or stroll along the Adige River…",20+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL0FjUDNZWEFtU0M0NGNoQzRkYnE5eEEvNTZpelJLYnk1UUhyS3dJZGpDWjFDa1BrTlpyWUh4NWtfbWF5Z2luc0lUajY2MW8yWGFXQXJmdExRYk02QXFEMDdTS1llYWZiSTVEY3dyb1dfZHFZTExmRUpFTVFRRXZtRHB1eXpsVkthM2svZWtwaEhzNUwyN2ZfMzJuNTZnb3lHVUExMHdJUEJFZHFza2phUXBfRlpoaw=="
Malta,,,"35.9375° N, 14.3754° E","Malta, a Mediterranean gem, boasts sun-soaked beaches and a rich tapestry of history and culture.",10+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL20zSkcwMl9jNm9GeTZ5bkptUXlxY2cvdTBJcTFCT0lNeVMxbHl3Y2xVcGZEVm4wbWxPNE9EbUlsdm1Cd2xiTkppOVJjNzhFckwyRFBIOW5BZDhDU3lLTzUzaWN5bHNjaDBSTHBxaTg3NHAxVEtsZE1xSi1kWFBMc3F4UDVnekVxWjgvUTNLLUtoa2duNlBERWwwWTh1QXRObGJsbmpzeE1JV0Ntb3JIWlB0Nk4waw=="
Monaco,,,"43.7384° N, 7.4246° E","Discover the epitome of luxury and glamour in Monaco. This captivating city-state on the French Riviera offers stunning Mediterranean views, world-class casinos, and a vibrant atmosphere of opulence and charm.",10+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwLy0teHRfQzZsbjBqYzBnZHkzNndCbFEvWWhBRDVVRFhvX0JSbTh0Y2ZwdU8zTWw1WnF6ckRZanFzTUQ5ZmpzQkRLYUxIWjlWdjBnYjRkS3V1RmRYU1J1bFZjYVlKbUtpbjJJT3VJNTZaRFQtZXNKakxoMGhSbjFxbXZjekdaOFNsYWMvdXFzRHRGZkYtdG10OURaeF83M3FwM1VBSGRqREFjUFo3LXRlSGZGRnBXTQ=="
Montenegro,,,,"Nestled along the Adriatic Sea, Montenegro enchants with its rugged mountains, pristine beaches, and picturesque old towns. Immerse yourself in its rich history, vibrant culture, and natural wonders.",5+ Havens,1 Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL05hTnR1clJaOVR5a2VwRHdLV1hSWXcvYTdpWml3YzA1aXdabXNrS3lVMllManZlZ19QMjNhS1pNNXhMdmd3bHIwa2ZxNXlBRjJkSE5xZ3NCWlE3QlFhOVg5WDlrRGk4aVNTdm1SamhRQ0oycDhBU21wQlhjeGtsaFNtN3V3VTF4S2hKS205YlREaHhkUGc5RXlsTURsMHMvMWJrSVNtazZvVzBzdmFMcXVRWG8zNXpPSGU5Ym1aTHJYQWtyNUZEa1Ffaw=="
Montenegro,,Herceg Novi,"42.4560° N, 18.5377° E","Wander through a historic coastal town, admire the beauty of the Bay of Kotor, and bask in the charm of Montenegro's Adriatic coast…",5+ Havens,Top Destination,/images/Herceg Novi.jpg
Netherlands,,,,"The Netherlands is nothing short of an idyllic refuge—take it slow with a walk along Amsterdam’s soothing canals, or marvel at millions of tulips blooming in Keukenhof. Indulge at a cheese market or gallery-hop…",25+ Havens,1 Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL2tKYUhVT25LZk91endVTXBULURXNncvNmp2aEZDU1F0Uy01Y0EyUE4waEI1RElHNVh4YllsMHpfV0ZnQmdSUnRVaTg4UVJxa1pGbnV2VjNDclBBNWk1b3lPdHc2MklYQ0txbHB0TzgtWmwxM2VsRUlnQmJqb2NxaEt1ZG1pUDJmOC13REFGWTB1eUsxVjJqTDF1ZkFkTzAveXppb1RwZkxMd09aSzIxa1VWMXhOcDZSWlhnTktPaGdxNzYyRFd1bzNUWQ=="
Netherlands,,Amsterdam,"52.3667° N, 4.8945° E","Traverse charming canals, admire stunning architecture, and delve into a rich artistic and cultural heritage in Amsterdam…",25+ Havens,Top Destination,/images/Amsterdam.jpg
Norway,,,,"This Scandinavian haven is brilliantly diverse—from the capital harbor city of Oslo to fjords in the west and coral reefs in the Lofoten Islands, Norway’s nature astounds. View the Northern Lights or stay in a snow hotel…",5+ Havens,2 Top Destinations,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL29pSmV0U1BSZ3h3SHVVVzRnWFFiN2cvbkdwYjVvX0VXMzZ3azBYT29OS3RRN003dDVtd2tsVFNaeXlfcWxWMEdDY0R4VHZlNjRGQlJKeDhvSWFRcllxYnJSSmw4OE02N05tdmd1MWFaOGpENkJDbDM1TlZJUDZ2U0xGeUxUTkh2UnMvdmh4NERDMjBoXzdtWmlZamk4NDh6Sy0yV0Rta2FWTUhlYmZuVnVQOVV1MA=="
Norway,,Bergen,"60.3913° N, 5.3221° E","Discover the gateway to the fjords, wander historic Bryggen, and experience a city surrounded by breathtaking natural beauty…",,Top Destination,/images/Bergen.jpg
Norway,,Oslo,"59.9139° N, 10.7522° E","Explore Norway's dynamic capital, admire contemporary architecture, and immerse in a city boasting world-class museums and a lively waterfront…",,Top Destination,/images/Oslo.jpg
Portugal,,,,"Surf the iconic Nazaré on Portugal’s sea-facing side, or view a warm-hued sunset over the rolling hills while tasting port in the Douro Valley. Set your sights on Lisbon’s castles, or enjoy fresh seafood…",1000+ Havens,4 Top Destinations,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL3UtZERyelA4OGF0LTBYOG84d0ZuUlEvT2Y4SGdzYnlTZ2FZb0FMWE94dkIzbWhxdHRJbmpXSWVISlpvd0M0MWRjOE1vcDhnNUtnVWYxY0MzS1BaNzVyNHdETi0wZk5JRS1qYnpEd053T25ORFRkXzh4WVRlUkh5WmRQQXY2NmRTTUEvLWNBbm5SZG9TTm03THhRcFZDZXM5OTlReHdEbkxYY2lKZFZic3k0ZWphUQ=="
Portugal,,Porto,"41.1496° N, 8.6109° W","Explore the enchanting city of Porto, a UNESCO World Heritage site boasting stunning architecture, a lively waterfront, and the birthplace of Port wine. Uncover the magic of Portugal's north...",150+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL0ZOemUxUGdITDNUa1pIZkZIX3dKOVEvckZibmFIY2NTemVNSXdJUFRWcDExbTNvaXNTWGhBdmRRdEV3ZURpcGxyZjkwaXh0Tm1pRWlWNkNRQ3JNRjg2WG91ei1Ybzd0VU5vMkVlR2tjTHBZSzZDSkVlX0w5R29NQ2xLV1BGeDVFZDAvNHpoWGlXT1k5X29hSi1Za0Y3aEpOaUJheWZKS0FsZi1kVzQ4OUJUTl9idw=="
Portugal,,Lisbon,"38.7223° N, 9.1393° W","Immerse yourself in the captivating charm of Lisbon, a city of rich history, stunning architecture, and vibrant culture. Discover the enchanting neighborhoods, culinary delights, and scenic vistas...",150+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL1pENTU4MjBaVHFGRXktZ2xMakxqd2cvS2dkd29WbG9TNVZJZkNrMno1RFNJZ2d1dEVNZVcxc3k4TlFnbTVqb2xneHZlT3RETE1vekYycUxyemhGZW01YVNZVEVfX0FFT0xjNzhfNnNpeGVLX0pDMjhJczF6SkNLNFF4aGJxYUZWaHMvNnBNT0o4YXBKZTc1VEtBQmxXYjJfbktNUFBLRmhEb3lzT0lGYVZXWTdjUQ=="
Portugal,,Algarve Coast,"37.0171° N, 7.9306° W","Bask in the sun-soaked beauty of the Algarve Coast, a Portuguese paradise of golden beaches, dramatic cliffs, and charming coastal towns. Experience the allure of southern Portugal...",250+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL3lhWWo2S3lJcDNaa0p3QkxmV3BmNUEvQi0tWXNsUmtuVVlDbl9yTkpHdnpCM1VYQzFVbHZHSjhlVzdmdVJhYlA4b0Q4MloyWWczYmFSUC1PYjlMaWV6cTJtWklHdlRidXpkNXJjenFRbnRacHJTRmFaMUJNYTRDU3dkWGRxY0QxWW8vVEc0eWQxbFFjZjBpOHJBcWVmVkpHR0RQM1JKOHJ6ZmRGclJ1LVN1Ym9ySQ=="
